currenttime,choice,l,time
56:15.8,H,7,0.009411097
56:15.8,H,7,0.009701967
56:15.9,H,7,0.00960207
56:15.9,H,7,0.009989262
56:16.0,H,7,0.046902657
56:16.0,H,7,0.032720089
56:16.1,H,7,0.033199787
56:16.1,H,7,0.014454126
56:16.1,H,7,0.010489702
56:16.2,H,7,0.021149158
56:16.2,H,7,0.029417038
56:16.3,H,7,0.02128005
56:16.3,H,7,0.011752844
56:16.3,H,7,0.009750843
56:16.3,H,7,0.010117054
56:16.4,H,7,0.009454966
56:16.4,H,7,0.009867907
56:16.4,H,7,0.025323153
56:16.5,H,7,0.02768898
56:16.5,H,7,0.038343906
56:16.6,H,7,0.038460016
56:16.6,H,7,0.016566038
56:16.7,H,7,0.021945715
56:16.7,H,7,0.010841846
56:16.8,H,7,0.00987792
56:16.8,H,7,0.011762142
56:16.8,H,7,0.009721041
56:16.8,H,7,0.023823977
56:16.9,H,7,0.028196812
56:16.9,H,7,0.029415131
56:17.0,H,7,0.026939869
56:17.0,H,7,0.010924101
56:17.0,H,7,0.0106287
56:17.1,H,7,0.062085867
56:17.2,H,7,0.030951023
56:17.2,H,7,0.020936251
56:17.3,H,7,0.017398834
56:17.3,H,7,0.010036945
56:17.3,H,7,0.00959897
56:17.3,H,7,0.010188103
56:17.4,H,7,0.019353151
56:17.4,H,7,0.030698061
56:17.5,H,7,0.024450779
56:17.5,H,7,0.028375149
56:17.5,H,7,0.011635065
56:17.6,H,7,0.024474144
56:17.6,H,7,0.03331089
56:17.7,H,7,0.030834913
56:17.7,H,7,0.011733055
56:17.7,H,7,0.01009202
56:17.8,H,8,0.011080265
56:17.8,H,8,0.032256126
56:17.9,H,8,0.035059929
56:17.9,H,8,0.03866601
56:18.0,H,8,0.012708187
56:18.0,H,8,0.011250973
56:18.0,H,8,0.010736227
56:18.1,H,8,0.032980919
56:18.1,H,8,0.048367262
56:18.2,H,8,0.031283855
56:18.2,H,8,0.012217999
56:18.2,H,8,0.011767864
56:18.3,H,8,0.012400866
56:18.3,H,8,0.026025057
56:18.4,H,8,0.035490036
56:18.4,H,8,0.013083935
56:18.4,H,8,0.011992931
56:18.5,H,8,0.01156497
56:18.5,H,8,0.037426949
56:18.6,H,8,0.047691107
56:18.7,H,8,0.037972927
56:18.7,H,8,0.012840033
56:18.7,H,8,0.011953831
56:18.8,H,8,0.04896903
56:18.8,H,8,0.032963991
56:18.9,H,8,0.012378216
56:18.9,H,8,0.011404991
56:18.9,H,8,0.012191057
56:18.9,H,8,0.010802031
56:19.0,H,8,0.011519909
56:19.0,H,8,0.010615826
56:19.0,H,8,0.033931017
56:19.1,H,8,0.037456036
56:19.2,H,8,0.031401873
56:19.2,H,8,0.022341728
56:19.2,H,8,0.012065172
56:19.3,H,8,0.025253296
56:19.3,H,8,0.022360802
56:19.3,H,8,0.020379066
56:19.4,H,8,0.011435032
56:19.4,H,8,0.010540009
56:19.4,H,8,0.011183739
56:19.4,H,8,0.011111975
56:19.5,H,8,0.032261848
56:19.6,H,8,0.038380146
56:19.6,H,8,0.033820868
56:19.6,H,8,0.013190985
56:19.7,H,8,0.019531012
56:19.7,H,8,0.026336908
56:19.8,H,8,0.012327909
08:32.4,H,1,0.003375769
08:32.4,H,1,0.001224041
08:32.4,H,1,0.001186132
08:32.4,H,1,0.001171827
08:32.4,H,1,0.001263142
08:32.5,H,1,0.00114584
08:32.5,H,1,0.00548315
08:32.5,H,1,0.001348257
08:32.5,H,1,0.001280069
08:32.5,H,1,0.001348734
08:32.6,H,1,0.001299858
08:32.6,H,1,0.001816273
08:32.6,H,1,0.009637117
08:32.6,H,1,0.001305819
08:32.6,H,1,0.001524925
08:32.7,H,1,0.001285076
08:32.7,H,1,0.001223087
08:32.7,H,1,0.001354933
08:32.7,H,1,0.001209259
08:32.7,H,1,0.001155853
08:32.7,H,1,0.001312017
08:32.7,H,1,0.001250029
08:32.8,H,1,0.001117229
08:32.8,H,1,0.001510143
08:32.8,H,1,0.001315832
08:32.8,H,1,0.001416922
08:32.8,H,1,0.00134778
08:32.9,H,1,0.016978979
08:32.9,H,1,0.002067804
08:32.9,H,1,0.001942873
08:32.9,H,1,0.002210855
08:33.0,H,1,0.001378059
08:33.0,H,1,0.008181095
08:33.0,H,1,0.00129199
08:33.1,H,1,0.002258062
08:33.1,H,1,0.002159119
08:33.1,H,1,0.003650904
08:33.1,H,1,0.001281977
08:33.1,H,1,0.001156092
08:33.2,H,1,0.00110507
08:33.2,H,1,0.001061201
08:33.2,H,1,0.001055956
08:33.2,H,1,0.001896143
08:33.2,H,1,0.001048088
08:33.2,H,1,0.00138092
08:33.2,H,1,0.001252174
08:33.2,H,1,0.001488209
08:33.3,H,1,0.001250982
08:33.3,H,1,0.004163027
08:33.3,H,1,0.001307964
08:33.3,H,2,0.009023905
08:33.4,H,2,0.004544973
08:33.4,H,2,0.004243851
08:33.4,H,2,0.005855083
08:33.4,H,2,0.004376173
08:33.4,H,2,0.004249096
08:33.4,H,2,0.005456924
08:33.5,H,2,0.004539013
08:33.5,H,2,0.020474911
08:33.5,H,2,0.011998892
08:33.6,H,2,0.005008221
08:33.6,H,2,0.004232883
08:33.6,H,2,0.004618168
08:33.6,H,2,0.006552696
08:33.6,H,2,0.005731821
08:33.7,H,2,0.005311966
08:33.7,H,2,0.005145788
08:33.7,H,2,0.004379034
08:33.7,H,2,0.006430864
08:33.8,H,2,0.009469986
08:33.8,H,2,0.011580944
08:33.8,H,2,0.004523993
08:33.8,H,2,0.004374027
08:33.8,H,2,0.004219055
08:33.9,H,2,0.004377842
08:33.9,H,2,0.004739046
08:33.9,H,2,0.004396677
08:33.9,H,2,0.004135132
08:33.9,H,2,0.004401922
08:34.0,H,2,0.016786098
08:34.0,H,2,0.013956785
08:34.0,H,2,0.005130053
08:34.0,H,2,0.004385948
08:34.0,H,2,0.004466057
08:34.1,H,2,0.004156828
08:34.1,H,2,0.004313231
08:34.1,H,2,0.005371809
08:34.1,H,2,0.004268169
08:34.1,H,2,0.00437212
08:34.1,H,2,0.005161047
08:34.2,H,2,0.006560087
08:34.2,H,2,0.005311012
08:34.2,H,2,0.011610031
08:34.3,H,2,0.007922888
08:34.3,H,2,0.014492989
08:34.4,H,2,0.012624979
08:34.4,H,2,0.008410215
08:34.4,H,2,0.007317781
08:34.5,H,2,0.008560896
08:34.5,H,2,0.011870146
08:34.5,H,3,0.016993046
08:34.6,H,3,0.00591588
08:34.6,H,3,0.00543499
08:34.6,H,3,0.007107019
08:34.6,H,3,0.013333082
08:34.7,H,3,0.01335001
08:34.7,H,3,0.015228987
08:34.8,H,3,0.008045912
08:34.8,H,3,0.005743027
08:34.8,H,3,0.006131172
08:34.8,H,3,0.015819073
08:34.9,H,3,0.012257099
08:34.9,H,3,0.013936758
08:34.9,H,3,0.018469095
08:35.0,H,3,0.019143105
08:35.0,H,3,0.006874084
08:35.0,H,3,0.00769186
08:35.1,H,3,0.010859013
08:35.1,H,3,0.02123642
08:35.2,H,3,0.015441895
08:35.2,H,3,0.005964041
08:35.2,H,3,0.00544405
08:35.2,H,3,0.005263805
08:35.2,H,3,0.005659819
08:35.3,H,3,0.019384861
08:35.3,H,3,0.011815071
08:35.4,H,3,0.02340126
08:35.4,H,3,0.024384022
08:35.5,H,3,0.014731884
08:35.5,H,3,0.030842066
08:35.6,H,3,0.025909901
08:35.6,H,3,0.00690484
08:35.6,H,3,0.005527973
08:35.6,H,3,0.004970074
08:35.7,H,3,0.005988121
08:35.7,H,3,0.007421255
08:35.7,H,3,0.019680977
08:35.8,H,3,0.01894927
08:35.8,H,3,0.020632029
08:35.9,H,3,0.006304026
08:35.9,H,3,0.00574398
08:35.9,H,3,0.012338877
08:36.0,H,3,0.019061089
08:36.0,H,3,0.018117189
08:36.0,H,3,0.014209032
08:36.1,H,3,0.006514788
08:36.1,H,3,0.005831957
08:36.1,H,3,0.01406312
08:36.2,H,3,0.021441221
08:36.2,H,3,0.010650158
08:36.2,H,4,0.01473093
08:36.3,H,4,0.007776022
08:36.3,H,4,0.0070889
08:36.3,H,4,0.006965637
08:36.3,H,4,0.006482124
08:36.4,H,4,0.026283026
08:36.4,H,4,0.016100168
08:36.4,H,4,0.017433882
08:36.5,H,4,0.023229122
08:36.5,H,4,0.010152817
08:36.6,H,4,0.016985893
08:36.6,H,4,0.012923002
08:36.6,H,4,0.011729956
08:36.7,H,4,0.007689953
08:36.7,H,4,0.006621122
08:36.7,H,4,0.006364107
08:36.7,H,4,0.006665945
08:36.8,H,4,0.017886877
08:36.8,H,4,0.036290884
08:36.9,H,4,0.019826889
08:36.9,H,4,0.016144991
08:36.9,H,4,0.008026123
08:37.0,H,4,0.00705719
08:37.0,H,4,0.026572943
08:37.1,H,4,0.020112276
08:37.1,H,4,0.02170682
08:37.1,H,4,0.007935047
08:37.1,H,4,0.006484985
08:37.2,H,4,0.00639677
08:37.2,H,4,0.007341146
08:37.2,H,4,0.012097836
08:37.3,H,4,0.018002033
08:37.3,H,4,0.023897171
08:37.3,H,4,0.015067101
08:37.4,H,4,0.007282019
08:37.4,H,4,0.010414839
08:37.4,H,4,0.021186113
08:37.5,H,4,0.033579111
08:37.6,H,4,0.025429249
08:37.6,H,4,0.007272959
08:37.6,H,4,0.017102003
08:37.6,H,4,0.017106295
08:37.7,H,4,0.017251015
08:37.7,H,4,0.007887125
08:37.7,H,4,0.006887913
08:37.8,H,4,0.006448269
08:37.8,H,4,0.006618738
08:37.8,H,4,0.006712914
08:37.8,H,4,0.006196976
08:37.8,H,4,0.007190943
08:37.9,H,5,0.016843081
08:37.9,H,5,0.019567013
08:38.0,H,5,0.032602787
08:38.1,H,5,0.057770014
08:38.1,H,5,0.040609837
08:38.2,H,5,0.021016121
08:38.2,H,5,0.012224197
08:38.2,H,5,0.008032084
08:38.3,H,5,0.011750937
08:38.3,H,5,0.034532309
08:38.4,H,5,0.032674789
08:38.4,H,5,0.009606123
08:38.5,H,5,0.013500929
08:38.5,H,5,0.008380175
08:38.5,H,5,0.022742033
08:38.6,H,5,0.033950806
08:38.6,H,5,0.043558836
08:38.7,H,5,0.00960803
08:38.7,H,5,0.008865118
08:38.7,H,5,0.008170843
08:38.7,H,5,0.007656097
08:38.8,H,5,0.007628679
08:38.8,H,5,0.007779121
08:38.8,H,5,0.023343801
08:38.9,H,5,0.016241074
08:38.9,H,5,0.020405054
08:38.9,H,5,0.025327206
08:39.0,H,5,0.00899291
08:39.0,H,5,0.031230211
08:39.1,H,5,0.027938843
08:39.1,H,5,0.023480177
08:39.2,H,5,0.009294748
08:39.2,H,5,0.007716894
08:39.2,H,5,0.008930922
08:39.3,H,5,0.032979965
08:39.3,H,5,0.031229019
08:39.3,H,5,0.009287119
08:39.4,H,5,0.008964062
08:39.4,H,5,0.008053064
08:39.4,H,5,0.011578083
08:39.5,H,5,0.025693893
08:39.5,H,5,0.020764828
08:39.6,H,5,0.022611856
08:39.6,H,5,0.009169817
08:39.6,H,5,0.008732319
08:39.6,H,5,0.017531872
08:39.7,H,5,0.030636072
08:39.7,H,5,0.024435043
08:39.8,H,5,0.010195017
08:39.8,H,5,0.008251905
08:39.8,H,6,0.008471012
08:39.8,H,6,0.008673906
08:39.9,H,6,0.027433872
08:39.9,H,6,0.022946835
08:40.0,H,6,0.022053003
08:40.0,H,6,0.031705856
08:40.1,H,6,0.011064053
08:40.1,H,6,0.009800911
08:40.1,H,6,0.022650957
08:40.2,H,6,0.02231288
08:40.2,H,6,0.010439873
08:40.2,H,6,0.008907795
08:40.2,H,6,0.008329868
08:40.3,H,6,0.008609056
08:40.3,H,6,0.008647203
08:40.3,H,6,0.022125006
08:40.4,H,6,0.022117138
