currenttime,option,lensplit,f,accuracy,timetaken
2017-07-03 08:11:35.792044,opt5,split1,0.003,0.48335005015045135,94.24790096282959
2017-07-03 08:11:37.578353,opt5,split2,0.003,0.60020060180541623,168.74150204658508
2017-07-03 08:11:39.614969,opt5,split4,0.003,0.47382146439317951,368.4637279510498
2017-07-03 08:11:41.611042,opt6,0,0.003,0.61444332998996987,0
2017-07-03 08:11:43.802143,opt1,len5,0.003,0.4361083249749248,0.03464794158935547
2017-07-03 08:11:45.780326,opt2,len5,0.003,0.43580742226680041,0.1330869197845459
2017-07-03 08:11:47.572103,opt3,len5,0.003,0.60250752256770312,0.030132055282592773
2017-07-03 08:11:49.454783,opt4,len5,0.003,0.60120361083249751,0.16590189933776855
2017-07-03 08:38:39.326612,opt5,split8,0.003,0.57342026078234709,910.13072514534
2017-07-03 08:38:41.536795,opt5,split1,0.003,0.5877632898696088,90.09047102928162
2017-07-03 08:38:43.809222,opt5,split2,0.003,0.48104312938816451,187.00849509239197
2017-07-03 08:38:45.775285,opt5,split4,0.003,0.44202607823470413,420.84550404548645
2017-07-03 08:38:47.996628,opt6,0,0.003,0.620160481444333,0
2017-07-03 08:38:55.847588,opt1,len5,0.003,0.45887662988966899,0.016449928283691406
2017-07-03 08:38:58.291986,opt2,len5,0.003,0.49287863590772318,0.15149998664855957
2017-07-03 08:39:00.595089,opt3,len5,0.003,0.63019057171514548,0.05632781982421875
2017-07-03 08:39:02.907799,opt4,len5,0.003,0.62748244734202607,0.16815686225891113
2017-07-03 09:03:02.795106,opt5,split8,0.003,0.62668004012036105,809.6004469394684
2017-07-03 09:03:05.009868,opt5,split1,0.003,0.61063189568706122,83.50444388389587
2017-07-03 09:03:07.067001,opt5,split2,0.003,0.62748244734202607,177.34004592895508
2017-07-03 09:03:09.258930,opt5,split4,0.003,0.58676028084252763,367.61722922325134
2017-07-03 09:03:11.242489,opt6,0,0.003,0.64262788365095291,0
2017-07-03 09:03:13.176018,opt1,len5,0.003,0.56529588766298899,0.018179893493652344
