currenttime,k,restarts,accuracy
2018-06-01 14:53:43.377282,7,100,0.8184632024591939
2018-06-01 14:53:53.029716,8,20,0.7959396493740372
2018-06-01 14:53:53.402192,8,10,0.7959396493740372
2018-06-01 14:53:53.769308,8,5,0.7960494912018052
2018-06-01 14:53:54.130735,8,4,0.7960494912018052
2018-06-01 14:53:54.497869,8,3,0.7959396493740372
2018-06-01 14:53:54.855850,8,2,0.7959396493740372
2018-06-01 14:53:55.224226,8,99,0.7957199657185011
2018-06-01 14:53:55.594201,8,100,0.7967085421684132
2018-06-01 14:53:58.489921,3,5,0.953626674369238
2018-06-01 14:53:58.838436,3,4,0.953626674369238
2018-06-01 14:53:59.167811,3,3,0.953626674369238
2018-06-01 14:53:59.496790,3,2,0.953626674369238
2018-06-01 14:53:59.830179,3,99,0.953626674369238
2018-06-01 14:54:00.163805,3,100,0.9538463700727579
2018-06-01 14:54:03.183429,4,20,0.903956043956044
2018-06-01 14:54:03.547531,4,10,0.903956043956044
2018-06-01 14:54:03.910332,4,5,0.903956043956044
2018-06-01 14:54:04.259839,4,4,0.903956043956044
2018-06-01 14:54:04.617910,4,3,0.903956043956044
2018-06-01 14:54:04.976161,4,2,0.903956043956044
2018-06-01 14:54:05.329546,4,99,0.903956043956044
2018-06-01 14:54:05.701248,4,100,0.9042857142857144
2018-06-01 14:54:08.923950,5,20,0.8786813186813187
2018-06-01 14:54:09.279025,5,10,0.8786813186813187
2018-06-01 14:54:09.628919,5,5,0.8786813186813187
2018-06-01 14:54:09.983881,5,4,0.8786813186813187
2018-06-01 14:54:10.343358,5,3,0.8786813186813187
2018-06-01 14:54:10.693608,5,2,0.4414285714285714
2018-06-01 14:54:11.046507,5,99,0.8786813186813187
2018-06-01 14:54:11.409904,5,100,0.8786813186813187
2018-06-01 14:54:15.223717,6,20,0.8525248229412581
2018-06-01 14:54:15.589715,6,10,0.8525248229412581
2018-06-01 14:54:15.937980,6,5,0.8525248229412581
2018-06-01 14:54:16.290509,6,4,0.8525248229412581
2018-06-01 14:54:16.645161,6,3,0.3769103249548673
2018-06-01 14:54:17.003245,6,2,0.3779084502152479
2018-06-01 14:54:17.353853,6,99,0.8525248229412581
2018-06-01 14:54:17.719333,6,100,0.8525248229412581
2018-06-01 14:54:24.371302,7,20,0.8220775084804366
2018-06-01 14:54:24.743816,7,10,0.8220775084804366
2018-06-01 14:54:25.114505,7,5,0.821967533774619
2018-06-01 14:54:25.480093,7,4,0.821967533774619
2018-06-01 14:54:25.847470,7,3,0.821967533774619
2018-06-01 14:54:26.212664,7,2,0.821967533774619
2018-06-01 14:54:26.584408,7,99,0.821967533774619
2018-06-01 14:54:26.962174,7,100,0.8222974578920719
2018-06-01 14:54:36.668350,8,20,0.7945024068339828
2018-06-01 14:54:37.034133,8,10,0.7943925650062147
2018-06-01 14:54:37.400306,8,5,0.7945024068339828
2018-06-01 14:54:37.765879,8,4,0.7945024068339828
2018-06-01 14:54:38.141022,8,3,0.7945024068339828
2018-06-01 14:54:38.503919,8,2,0.7945024068339828
2018-06-01 14:54:38.866711,8,99,0.7946122486617507
2018-06-01 14:54:39.233863,8,100,0.7949417741450547
2018-06-01 15:00:52.209681,3,5,0.9510997209846455
2018-06-01 15:00:52.707163,3,4,0.9510997209846455
2018-06-01 15:00:53.207492,3,3,0.9510997209846455
2018-06-01 15:00:53.732358,3,2,0.9510997209846455
2018-06-01 15:00:54.327088,3,99,0.9510997209846455
2018-06-01 15:00:57.401333,4,10,0.9082417582417582
2018-06-01 15:00:57.835060,4,5,0.9082417582417582
2018-06-01 15:00:58.198284,4,4,0.9082417582417582
2018-06-01 15:00:58.615087,4,3,0.9082417582417582
2018-06-01 15:00:59.001837,4,2,0.9081318681318682
2018-06-01 15:00:59.432686,4,99,0.9081318681318682
2018-06-01 15:01:02.309950,5,10,0.8791208791208792
2018-06-01 15:01:02.672876,5,5,0.5892307692307692
2018-06-01 15:01:03.070311,5,4,0.5892307692307692
2018-06-01 15:01:03.439060,5,3,0.5892307692307692
2018-06-01 15:01:03.804525,5,2,0.5892307692307692
2018-06-01 15:01:04.239609,5,99,0.8792307692307691
2018-06-01 15:01:07.442787,6,10,0.8430730106929594
2018-06-01 15:01:07.812679,6,5,0.8430730106929594
2018-06-01 15:01:08.177059,6,4,0.8430730106929594
2018-06-01 15:01:08.534796,6,3,0.8430730106929594
2018-06-01 15:01:08.908653,6,2,0.8430730106929594
2018-06-01 15:01:09.297570,6,99,0.8430730106929594
2018-06-01 15:01:12.672267,7,10,0.81626041883697
2018-06-01 15:01:13.050905,7,5,0.81626041883697
2018-06-01 15:01:13.422821,7,4,0.81626041883697
2018-06-01 15:01:13.791945,7,3,0.3410317778273857
2018-06-01 15:01:14.170454,7,2,0.3410317778273857
2018-06-01 15:01:14.545863,7,99,0.81626041883697
2018-06-01 15:01:21.318154,8,10,0.7923106071172855
2018-06-01 15:01:21.703516,8,5,0.7924208363941815
2018-06-01 15:01:22.071145,8,4,0.7924208363941815
2018-06-01 15:01:22.442280,8,3,0.7923106071172855
2018-06-01 15:01:22.819341,8,2,0.7923106071172855
2018-06-01 15:01:23.197650,8,99,0.7925306782219494
2018-06-01 15:01:26.242305,3,5,0.9518683118234397
2018-06-01 15:01:26.595205,3,4,0.9518683118234397
