currenttime,option,variant,length,diff,time
2017-06-29 21:13:38.381636,11,1,5,0.052025503942543884,0.4903578758239746
2017-06-29 21:13:38.895751,12,1,5,0.043358266201072311,0.5138030052185059
2017-06-29 21:13:39.190325,13,1,5,0.047940455747074229,0.29433584213256836
2017-06-29 21:13:39.549737,14,1,5,0.054436373147112013,0.35915589332580566
2017-06-29 21:13:40.705581,15,1,5,0.059457709803057181,1.1555728912353516
2017-06-29 21:13:42.107945,16,1,5,0.062693943066242777,1.4020638465881348
2017-06-29 21:13:42.674296,17,1,5,0.064559175970812108,0.5659708976745605
2017-06-29 21:13:43.275054,18,1,5,0.065573975975677087,0.5943248271942139
2017-06-29 21:13:44.010619,19,1,5,0.066085608274520591,0.7341699600219727
2017-06-29 21:13:44.853644,20,1,5,0.066318748716578071,0.8427221775054932
2017-06-29 21:13:45.772735,21,1,5,0.066406257122310172,0.9186038970947266
2017-06-29 21:13:46.373072,22,1,5,0.066421921285916924,0.6000759601593018
2017-06-29 21:13:46.972610,23,1,5,0.066405388922717343,0.5961930751800537
2017-06-29 21:13:47.373771,24,1,5,0.066377047142091944,0.4004831314086914
2017-06-29 21:13:47.807808,25,1,5,0.066346816649109117,0.4337189197540283
2017-06-29 21:13:48.561609,26,1,5,0.066318994658940811,0.7535281181335449
2017-06-29 21:13:48.882434,27,1,5,0.066295265902593714,0.3205409049987793
2017-06-29 21:13:49.332564,28,1,5,0.066275859691104264,0.4499499797821045
2017-06-29 21:13:49.709548,29,1,5,0.066260434861538917,0.37678003311157227
2017-06-29 21:13:50.283006,30,1,5,0.066248348086250991,0.5730619430541992
2017-06-29 21:13:50.766413,31,1,5,0.06623895511772783,0.48307299613952637
2017-06-29 21:13:51.397889,32,1,5,0.066231842086800607,0.6311948299407959
2017-06-29 21:13:51.961768,33,1,5,0.066226404826574284,0.5636041164398193
2017-06-29 21:14:14.970308,0,1,1,1.3751997911377278,0.3060789108276367
2017-06-29 21:14:15.323235,1,1,1,1.3751997912716558,0.35101914405822754
2017-06-29 21:14:15.540179,2,1,1,1.3751997912716558,0.21622085571289062
2017-06-29 21:14:15.932072,3,1,1,1.3751997912716558,0.3901388645172119
2017-06-29 21:14:16.226497,4,1,1,1.3751997912716558,0.29404401779174805
2017-06-29 21:14:16.389807,5,1,1,1.3751997912716558,0.16224408149719238
2017-06-29 21:14:16.524815,6,1,1,1.3751997911377278,0.1337587833404541
2017-06-29 21:14:16.902573,7,1,1,1.3751997912716558,0.36817097663879395
2017-06-29 21:14:16.976162,8,1,1,1.3751997912716558,0.07248902320861816
2017-06-29 21:14:17.145425,9,1,1,1.3751997912716558,0.16524314880371094
2017-06-29 21:14:17.305193,10,1,1,1.3751997912716558,0.15937495231628418
2017-06-29 21:14:17.399233,11,1,1,1.3751997912716558,0.09363889694213867
2017-06-29 21:14:17.495663,12,1,1,1.3751997911377278,0.09589791297912598
2017-06-29 21:14:17.637751,13,1,1,1.3751997912716558,0.13936400413513184
2017-06-29 21:14:17.780972,14,1,1,1.3751997912716558,0.14289402961730957
2017-06-29 21:14:17.824621,15,1,1,1.3751997912716558,0.04326295852661133
2017-06-29 21:14:17.866265,16,1,1,1.3751997912716558,0.04141592979431152
2017-06-29 21:14:17.909293,17,1,1,1.3751997912716558,0.0427699089050293
2017-06-29 21:14:17.973015,18,1,1,1.3751997911377278,0.06335282325744629
2017-06-29 21:14:18.123697,19,1,1,1.3751997912716558,0.15041494369506836
2017-06-29 21:14:18.275227,20,1,1,1.3751997912716558,0.15122509002685547
2017-06-29 21:14:18.389341,21,1,1,1.3751997912716558,0.11363816261291504
2017-06-29 21:14:18.500524,22,1,1,1.3751997912716558,0.11056900024414062
2017-06-29 21:14:18.745096,23,1,1,1.3751997912716558,0.24418377876281738
2017-06-29 21:14:18.845748,24,1,1,1.3751997911377278,0.10014104843139648
2017-06-29 21:14:18.969843,25,1,1,1.3751997912716558,0.12374591827392578
2017-06-29 21:14:19.181767,26,1,1,1.3751997912716558,0.21150708198547363
2017-06-29 21:14:19.358855,27,1,1,1.3751997912716558,0.17665696144104004
2017-06-29 21:14:19.467345,28,1,1,1.3751997912716558,0.10822105407714844
2017-06-29 21:14:19.565792,29,1,1,1.3751997912716558,0.09817695617675781
2017-06-29 21:14:19.623520,30,1,1,1.3751997911377278,0.057396888732910156
2017-06-29 21:14:19.802917,31,1,1,1.3751997912716558,0.17902302742004395
2017-06-29 21:14:19.891512,32,1,1,1.3751997912716558,0.08766794204711914
2017-06-29 21:14:19.986680,33,1,1,1.3751997912716558,0.09492301940917969
2017-06-29 21:14:20.361005,0,1,2,1.7087210248378966,0.37404584884643555
2017-06-29 21:14:20.631508,1,1,2,1.3434207130478146,0.26802682876586914
2017-06-29 21:14:21.088006,2,1,2,1.3333241946892449,0.45552706718444824
2017-06-29 21:14:21.321308,3,1,2,1.3198988372683298,0.23142290115356445
2017-06-29 21:14:21.696812,4,1,2,1.3018529665567773,0.3671720027923584
2017-06-29 21:14:21.906039,5,1,2,1.2778233142451023,0.20546793937683105
2017-06-29 21:14:22.282903,6,1,2,1.2474073621524429,0.3750040531158447
2017-06-29 21:14:22.697222,7,1,2,1.2144267719432078,0.37908220291137695
2017-06-29 21:14:22.993335,8,1,2,1.1904564017028301,0.29472804069519043
2017-06-29 21:14:23.351947,9,1,2,1.1802019381458215,0.3574850559234619
2017-06-29 21:14:23.823828,10,1,2,1.1759605549365759,0.4715921878814697
2017-06-29 21:14:24.394921,11,1,2,1.1738770480531033,0.5707418918609619
2017-06-29 21:14:24.694042,12,1,2,1.1726464862154169,0.29828786849975586
2017-06-29 21:14:24.971677,13,1,2,1.1719103974026814,0.2711210250854492
2017-06-29 21:14:25.362902,14,1,2,1.1040270063178812,0.3908829689025879
2017-06-29 21:14:25.905838,15,1,2,1.0958582188370889,0.5426440238952637
2017-06-29 21:14:26.328812,16,1,2,1.0894002887005272,0.41779112815856934
2017-06-29 21:14:26.762125,17,1,2,1.0843528206063766,0.43294787406921387
2017-06-29 21:14:27.077658,18,1,2,1.1706727676487254,0.31416893005371094
2017-06-29 21:14:27.511884,19,1,2,1.1705425417301956,0.43396997451782227
