currenttime,method,f,accuracy,precision,recall
2018-04-27 13:26:21.688144,DCE,0.022606977883586222,0.66378213398843833,0.66381269194272408,0.66387380785129568
2018-04-27 13:26:21.850771,DCEr,0.14264038732150022,0.6576582695214096,0.65768439725211303,0.65773665271351989
2018-04-27 13:26:21.920424,DCEr,0.567861610032174,0.66067025366204313,0.66068753280532155,0.66072209109187863
2018-04-27 13:26:21.959838,DCEr,0.14264038732150022,0.65620745206462849,0.65624228903889958,0.65631196298744221
2018-04-27 13:26:22.059985,DCE,0.014264038732150021,0.65719953719231794,0.65722983728169704,0.65729043746045557
2018-04-27 13:26:22.306078,DCEr,9e-05,0.66634118908383322,0.66927755340174711,0.67313132448062463
2018-04-27 13:26:22.809821,DCEr,0.09000000000000001,0.66307807475544234,0.66310269074728945,0.66315192273098367
2018-04-27 13:26:23.192882,DCE,0.567861610032174,0.66052455328030801,0.66054183242358644,0.66057639071014362
2018-04-27 13:26:23.377321,DCEr,0.0014264038732150022,0.66642408486414106,0.66646240202498719,0.66653903634667955
2018-04-27 13:26:23.518807,DCEr,0.2260697788358622,0.65896884761712204,0.65900743933438488,0.65908462276891033
2018-04-27 13:26:23.623611,DCE,0.35829645349814754,0.65690316381797753,0.65692643565769837,0.65697297933714016
2018-04-27 13:26:24.186853,DCEr,0.00035829645349814754,0.66641082288687947,0.66712987733236717,0.66817145897222485
2018-04-27 13:26:24.268643,DCEr,0.0001426403873215002,0.66567304572029562,0.66647976315945867,0.66805051029233697
2018-04-27 13:26:24.399735,DCEr,0.35829645349814754,0.65833996972178588,0.65837487748136725,0.65844469300052977
2018-04-27 13:26:24.526911,DCEr,0.0035829645349814755,0.65680057261176927,0.65683054772766092,0.65689049795944443
2018-04-27 13:26:24.551541,DCEr,0.009000000000000001,0.6658603998941679,0.66589053856895919,0.66595081591854199
2018-04-27 13:26:24.768149,DCEr,0.0567861610032174,0.65219031381850245,0.65221406303411589,0.65226156146534231
2018-04-27 13:26:25.225554,DCEr,0.09000000000000001,0.65584408242308012,0.65587690374554297,0.65594254639046867
2018-04-27 13:26:25.754430,DCEr,0.00567861610032174,0.66953176524445912,0.66956180314691238,0.66962187895181879
2018-04-27 13:26:25.819968,DCEr,0.022606977883586222,0.66021342014260154,0.66023633860831588,0.66028217553974455
2018-04-27 13:26:25.919365,DCEr,0.0567861610032174,0.66267274400760789,0.66270440962842558,0.66276774087006096
2018-04-27 13:26:26.377895,DCEr,0.022606977883586222,0.66378213398843833,0.66381269194272408,0.66387380785129568
2018-04-27 13:26:26.560482,DCEr,0.014264038732150021,0.65719953719231794,0.65722983728169704,0.65729043746045557
2018-04-27 13:26:27.749637,DCEr,0.567861610032174,0.66052455328030801,0.66054183242358644,0.66057639071014362
2018-04-27 13:26:28.140717,DCEr,0.35829645349814754,0.65690316381797753,0.65692643565769837,0.65697297933714016
2018-04-27 13:28:49.133824,Holdout,0.0005678616100321739,0.45196991129778369,0.49791246382257115,0.54391292787104584
2018-04-27 13:28:52.428691,GS,0.014264038732150021,0.666575766398529,0.66660606648790821,0.66666666666666663
2018-04-27 13:28:57.961437,LCE,0.014264038732150021,0.6686184698764216,0.66864876996580069,0.66870937014455922
2018-04-27 13:29:02.337993,MCE,0.014264038732150021,0.6686184698764216,0.66864876996580069,0.66870937014455922
2018-04-27 13:29:06.693187,DCE,0.014264038732150021,0.66552444923097054,0.66555474932034975,0.66561534949910828
2018-04-27 13:29:06.762419,Holdout,9e-05,0.37713019279572979,0.43041940394701528,0.48822218528322026
