currenttime,option,k,f,accuracy
2018-02-26 10:36:53.882798,opt6,3,0.01,0.65666666666666662
2018-02-26 10:36:54.224332,opt1,3,0.01,0.74050505050505055
2018-02-26 10:36:54.665158,opt2,3,0.01,0.67828282828282827
2018-02-26 10:36:55.021402,opt3,3,0.01,0.68999999999999995
2018-02-26 10:36:55.447009,opt4,3,0.01,0.65717171717171718
2018-02-26 10:36:56.218172,opt5,3,0.01,0.73505050505050507
2018-02-26 10:37:16.004445,opt6,3,0.01,0.69333333333333336
2018-02-26 10:37:16.405183,opt1,3,0.01,0.70737373737373732
2018-02-26 10:37:16.849515,opt2,3,0.01,0.69535353535353539
2018-02-26 10:37:17.212053,opt3,3,0.01,0.67525252525252522
2018-02-26 10:37:17.639943,opt4,3,0.01,0.70393939393939398
2018-02-26 10:37:18.449121,opt5,3,0.01,0.70323232323232321
2018-02-26 10:37:41.405479,opt6,3,0.01,0.68828282828282827
2018-02-26 10:37:41.750701,opt1,3,0.01,0.71737373737373733
2018-02-26 10:37:42.231333,opt2,3,0.01,0.67000000000000004
2018-02-26 10:37:42.602545,opt3,3,0.01,0.67909090909090908
2018-02-26 10:37:43.048042,opt4,3,0.01,0.71040404040404037
2018-02-26 10:37:43.826670,opt5,3,0.01,0.71151515151515154
2018-02-26 10:38:04.889957,opt6,3,0.01,0.64020202020202022
2018-02-26 10:38:05.265880,opt1,3,0.01,0.73060606060606059
2018-02-26 10:38:05.710713,opt2,3,0.01,0.67737373737373741
2018-02-26 10:38:06.071325,opt3,3,0.01,0.69565656565656564
2018-02-26 10:38:06.481267,opt4,3,0.01,0.6742424242424242
2018-02-26 10:38:07.233489,opt5,3,0.01,0.72565656565656567
2018-02-26 10:38:30.397979,opt6,3,0.01,0.70151515151515154
2018-02-26 10:38:30.767147,opt1,3,0.01,0.72090909090909094
2018-02-26 10:38:31.202704,opt2,3,0.01,0.69212121212121214
2018-02-26 10:38:31.570005,opt3,3,0.01,0.68868686868686868
2018-02-26 10:38:31.974135,opt4,3,0.01,0.71030303030303032
2018-02-26 10:38:32.728105,opt5,3,0.01,0.71818181818181814
2018-02-26 10:38:50.992833,opt6,3,0.01,0.70545454545454545
2018-02-26 10:38:51.291149,opt1,3,0.01,0.72030303030303033
2018-02-26 10:38:51.721339,opt2,3,0.01,0.69707070707070706
2018-02-26 10:38:52.088817,opt3,3,0.01,0.69676767676767681
2018-02-26 10:38:52.524360,opt4,3,0.01,0.71636363636363631
2018-02-26 10:38:53.299856,opt5,3,0.01,0.71656565656565652
2018-02-26 10:39:13.498726,opt6,3,0.01,0.67585858585858583
2018-02-26 10:39:13.847660,opt1,3,0.01,0.71616161616161611
2018-02-26 10:39:14.295547,opt2,3,0.01,0.70414141414141418
2018-02-26 10:39:14.657353,opt3,3,0.01,0.70424242424242423
2018-02-26 10:39:15.113614,opt4,3,0.01,0.7151515151515152
2018-02-26 10:39:15.907875,opt5,3,0.01,0.71545454545454545
2018-02-26 10:39:40.419944,opt6,3,0.01,0.68737373737373741
2018-02-26 10:39:40.897496,opt1,3,0.01,0.71373737373737378
2018-02-26 10:39:41.492355,opt2,3,0.01,0.6014141414141414
2018-02-26 10:39:42.188838,opt3,3,0.01,0.55121212121212126
2018-02-26 10:39:42.866841,opt4,3,0.01,0.49868686868686868
2018-02-26 10:39:43.998925,opt5,3,0.01,0.71323232323232322
2018-02-26 10:40:11.711777,opt6,3,0.01,0.60363636363636364
2018-02-26 10:40:12.415930,opt1,3,0.01,0.70010101010101011
2018-02-26 10:40:13.036498,opt2,3,0.01,0.70373737373737377
2018-02-26 10:40:13.493170,opt3,3,0.01,0.69242424242424239
2018-02-26 10:40:14.139944,opt4,3,0.01,0.69696969696969702
