currenttime,choice,l,valueH,valueM
2020-03-03 23:06:50.540202,Hrow,2,0.6114729745171981,6429.333333333333
2020-03-03 23:06:50.540659,Hrow,3,0.45239888167012476,88888.0
2020-03-03 23:06:50.540871,Hrow,4,0.365061422023615,1856260.2222222222
2020-03-03 23:06:50.541061,Hrow,5,0.4033002325847409,35568183.11111111
2020-03-03 23:06:50.541235,Hrow,6,0.31749974107745,715117609.7777778
2020-03-03 23:06:50.541428,Hrow,7,0.39049136737199486,14226158308.444445
2020-03-03 23:06:50.541599,Hrow,8,0.30849331644083555,284727185217.1111
2020-03-03 23:06:50.541823,HrowEC,1,0.6169590643274854,220.66666666666666
2020-03-03 23:06:50.542026,HrowEC,2,0.40256545422597084,4206.888888888889
2020-03-03 23:06:50.542207,HrowEC,3,0.4327120574754913,80281.33333333333
2020-03-03 23:06:50.542379,HrowEC,4,0.3230502239538791,1525569.111111111
2020-03-03 23:06:50.542566,HrowEC,5,0.39353213102384765,28970800.666666668
2020-03-03 23:06:50.542737,HrowEC,6,0.3087004190438694,550399337.5555556
2020-03-03 23:06:50.542961,HrowEC,7,0.387281648658131,10457016512.222221
2020-03-03 23:06:50.543291,HrowEC,8,0.3064235448417065,198686767200.8889
2020-03-03 23:06:52.704272,Hrow,1,0.5767511177347243,223.11111111111111
2020-03-03 23:06:52.704703,Hrow,2,0.629708169241644,6482.333333333333
2020-03-03 23:06:52.706176,Hrow,3,0.3750065034970233,88937.33333333333
2020-03-03 23:06:52.706414,Hrow,4,0.3954869043895871,1857583.111111111
2020-03-03 23:06:52.706622,Hrow,5,0.326578271350667,35552773.55555555
2020-03-03 23:06:52.706811,Hrow,6,0.34921114340201154,714926283.7777778
2020-03-03 23:06:52.707024,Hrow,7,0.31488327540435884,14220654940.666666
2020-03-03 23:06:52.707208,Hrow,8,0.3404498954161074,284628265281.7778
2020-03-03 23:06:52.707395,HrowEC,1,0.5767511177347243,223.11111111111111
2020-03-03 23:06:52.707577,HrowEC,2,0.4378353518319792,4260.222222222223
2020-03-03 23:06:52.707762,HrowEC,3,0.3532714743246692,80236.22222222222
2020-03-03 23:06:52.707941,HrowEC,4,0.354226150265324,1523837.5555555555
2020-03-03 23:06:52.708203,HrowEC,5,0.31731696973463924,28954881.333333332
2020-03-03 23:06:52.708492,HrowEC,6,0.34061904747550725,550209180.6666666
2020-03-03 23:06:52.708686,HrowEC,7,0.3120317508228998,10453593915.555555
2020-03-03 23:06:52.708936,HrowEC,8,0.3384412176392571,198620773771.1111
2020-03-03 23:06:55.685247,Hrow,1,0.6464174454828661,229.55555555555554
2020-03-03 23:06:55.685695,Hrow,2,0.6273464279884651,6392.444444444444
2020-03-03 23:06:55.687193,Hrow,3,0.4129270984017562,89131.33333333333
2020-03-03 23:06:55.687419,Hrow,4,0.3799950034023379,1853526.3333333333
2020-03-03 23:06:55.687635,Hrow,5,0.362326558313947,35567329.11111111
2020-03-03 23:06:55.687864,Hrow,6,0.3316490854682626,714791374.7777778
2020-03-03 23:06:55.688059,Hrow,7,0.35010482472432897,14223274767.11111
2020-03-03 23:06:55.688240,Hrow,8,0.3225328640367423,284652777678.55554
2020-03-03 23:06:55.688482,HrowEC,1,0.6464174454828661,229.55555555555554
2020-03-03 23:06:55.688723,HrowEC,2,0.42824943651389935,4170.222222222223
2020-03-03 23:06:55.688976,HrowEC,3,0.38766630226719845,80178.66666666667
2020-03-03 23:06:55.689184,HrowEC,4,0.3370782931371275,1524984.4444444445
2020-03-03 23:06:55.689362,HrowEC,5,0.3527977788348621,28961512.222222224
2020-03-03 23:06:55.689588,HrowEC,6,0.3226816757389989,550259858.0
2020-03-03 23:06:55.689769,HrowEC,7,0.3471127328548651,10454995501.333334
2020-03-03 23:06:55.689949,HrowEC,8,0.32044749104314796,198645929136.8889
2020-03-03 23:06:58.421695,Hrow,1,0.6248216833095578,216.66666666666666
2020-03-03 23:06:58.422111,Hrow,2,0.6325954313952903,6416.111111111111
2020-03-03 23:06:58.423787,Hrow,3,0.41807224945723204,88654.0
2020-03-03 23:06:58.424239,Hrow,4,0.39756629505272134,1854575.111111111
2020-03-03 23:06:58.424555,Hrow,5,0.36911998016365133,35544790.222222224
2020-03-03 23:06:58.424823,Hrow,6,0.35128847832091004,714909361.0
2020-03-03 23:06:58.425012,Hrow,7,0.3570758618614841,14222903861.333334
2020-03-03 23:06:58.425189,Hrow,8,0.342507296309378,284679142818.6667
2020-03-03 23:06:58.425371,HrowEC,1,0.6248216833095578,216.66666666666666
2020-03-03 23:06:58.425543,HrowEC,2,0.4408288564850345,4193.777777777777
2020-03-03 23:06:58.425725,HrowEC,3,0.3950714224686827,80202.88888888889
2020-03-03 23:06:58.425897,HrowEC,4,0.3563405591094441,1524659.3333333333
2020-03-03 23:06:58.426129,HrowEC,5,0.35977281597652044,28961138.666666668
2020-03-03 23:06:58.426346,HrowEC,6,0.34269357800577094,550327397.7777778
2020-03-03 23:06:58.426536,HrowEC,7,0.3541108071920927,10455779006.0
2020-03-03 23:06:58.426718,HrowEC,8,0.34048732497563206,198659707816.8889
2020-03-03 23:07:00.480199,Hrow,1,0.5778688524590164,225.11111111111111
2020-03-03 23:07:00.480569,Hrow,2,0.6468837030634783,6462.666666666667
2020-03-03 23:07:00.482352,Hrow,3,0.3862657768444197,88963.77777777778
2020-03-03 23:07:00.482680,Hrow,4,0.41398896290855564,1856696.6666666667
2020-03-03 23:07:00.483082,Hrow,5,0.33869678157951255,35555670.666666664
2020-03-03 23:07:00.483348,Hrow,6,0.36740670704659917,714917780.0
2020-03-03 23:07:00.483525,Hrow,7,0.3269939802932309,14221771859.11111
2020-03-03 23:07:00.483690,Hrow,8,0.3584993183725879,284645380223.1111
2020-03-03 23:07:00.483918,HrowEC,1,0.5778688524590164,225.11111111111111
2020-03-03 23:07:00.484118,HrowEC,2,0.4634466656938567,4240.444444444444
2020-03-03 23:07:00.484362,HrowEC,3,0.3648365941376041,80184.66666666667
2020-03-03 23:07:00.484654,HrowEC,4,0.37271007416184854,1524087.111111111
2020-03-03 23:07:00.484824,HrowEC,5,0.32960053547943713,28957853.555555556
2020-03-03 23:07:00.485040,HrowEC,6,0.3586897397298817,550239705.3333334
2020-03-03 23:07:00.485232,HrowEC,7,0.3241124479097115,10454370706.222221
2020-03-03 23:07:00.485448,HrowEC,8,0.3564464980494302,198634642376.44446
2020-03-03 23:07:02.600742,Hrow,1,0.5657051282051282,212.0
2020-03-03 23:07:02.601255,Hrow,2,0.6366839378238343,6443.555555555556
2020-03-03 23:07:02.602783,Hrow,3,0.3985160708466278,88596.44444444444
2020-03-03 23:07:02.603093,Hrow,4,0.3919981854429721,1856227.6666666667
2020-03-03 23:07:02.603377,Hrow,5,0.35297781124015437,35545734.88888889
2020-03-03 23:07:02.603673,Hrow,6,0.34371304327996305,714927394.7777778
2020-03-03 23:07:02.603960,Hrow,7,0.34116244800760537,14222032617.555555
2020-03-03 23:07:02.604346,Hrow,8,0.3345691986954538,284656080426.6667
2020-03-03 23:07:02.604609,HrowEC,1,0.5657051282051282,212.0
2020-03-03 23:07:02.604889,HrowEC,2,0.446129541864139,4221.333333333333
2020-03-03 23:07:02.605167,HrowEC,3,0.38153182110386624,80329.33333333333
2020-03-03 23:07:02.605441,HrowEC,4,0.3487286610786852,1524720.6666666667
2020-03-03 23:07:02.605713,HrowEC,5,0.3440000832971788,28961422.444444444
2020-03-03 23:07:02.605991,HrowEC,6,0.33475193612778725,550250520.0
2020-03-03 23:07:02.606214,HrowEC,7,0.3381989180747191,10454771049.555555
2020-03-03 23:07:02.606549,HrowEC,8,0.3324722052470583,198642377311.33334
