currenttime,option,k,f,time
2018-02-28 14:21:59.549923,opt2,2,0.01,0.12248802185058594
2018-02-28 14:21:59.611189,opt3,2,0.01,0.0602869987487793
2018-02-28 14:21:59.677972,opt4,2,0.01,0.06585288047790527
2018-02-28 14:21:59.760010,opt5,2,0.01,0.08085417747497559
2018-02-28 14:22:09.436068,opt6,2,0.01,9.675022840499878
2018-02-28 14:22:09.562752,opt2,2,0.01,0.12320995330810547
2018-02-28 14:22:09.594707,opt3,2,0.01,0.030887126922607422
2018-02-28 14:22:09.660219,opt4,2,0.01,0.06446313858032227
2018-02-28 14:22:09.740357,opt5,2,0.01,0.07914304733276367
2018-02-28 14:22:19.238323,opt6,2,0.01,9.497035026550293
2018-02-28 14:22:19.406330,opt2,2,0.01,0.16441082954406738
2018-02-28 14:22:19.433791,opt3,2,0.01,0.026311874389648438
2018-02-28 14:22:19.508736,opt4,2,0.01,0.0738518238067627
2018-02-28 14:22:19.628981,opt5,2,0.01,0.11928486824035645
2018-02-28 14:22:28.792079,opt6,2,0.01,9.162038087844849
2018-02-28 14:22:28.921539,opt2,2,0.01,0.12584710121154785
2018-02-28 14:22:28.951374,opt3,2,0.01,0.028837919235229492
2018-02-28 14:22:28.988670,opt4,2,0.01,0.0363008975982666
2018-02-28 14:22:29.074669,opt5,2,0.01,0.08502483367919922
2018-02-28 14:22:38.880968,opt6,2,0.01,9.805339097976685
2018-02-28 14:22:39.043175,opt2,2,0.01,0.15871286392211914
2018-02-28 14:22:39.104430,opt3,2,0.01,0.06012296676635742
2018-02-28 14:22:39.180859,opt4,2,0.01,0.07537984848022461
2018-02-28 14:22:39.285287,opt5,2,0.01,0.10342907905578613
2018-02-28 14:22:48.963405,opt6,2,0.01,9.677037000656128
2018-02-28 14:22:55.443956,opt2,3,0.01,0.17427515983581543
2018-02-28 14:22:55.479101,opt3,3,0.01,0.03400611877441406
2018-02-28 14:22:55.569843,opt4,3,0.01,0.08972811698913574
2018-02-28 14:22:55.983889,opt5,3,0.01,0.4130289554595947
2018-02-28 14:23:15.518127,opt6,3,0.01,19.533026933670044
2018-02-28 14:23:15.699025,opt2,3,0.01,0.17698311805725098
2018-02-28 14:23:15.735293,opt3,3,0.01,0.03492093086242676
