currenttime,option,f,accuracy
2018-06-18 19:01:28.974804,opt2,0.0009000000000000001,0.0
2018-06-18 19:01:29.066470,opt3,0.0009000000000000001,0.0
2018-06-18 19:01:29.156669,opt4,0.0009000000000000001,0.0
2018-06-18 19:01:31.520075,opt5,0.0009000000000000001,0.08165763245322609
2018-06-18 19:01:31.615870,opt1,0.0005678616100321739,0.0716908550445882
2018-06-18 19:01:31.753332,opt2,0.0005678616100321739,0.0
2018-06-18 19:01:31.846118,opt3,0.0005678616100321739,0.0
2018-06-18 19:01:31.945225,opt4,0.0005678616100321739,0.0
2018-06-18 19:01:36.044941,opt5,0.0005678616100321739,0.08165763245322609
2018-06-18 19:01:36.177373,opt1,0.00035829645349814754,0.0716908550445882
2018-06-18 19:01:36.335388,opt2,0.00035829645349814754,0.0
2018-06-18 19:01:36.492247,opt3,0.00035829645349814754,0.0
2018-06-18 19:01:36.648540,opt4,0.00035829645349814754,0.0
2018-06-18 19:01:39.281569,opt5,0.00035829645349814754,0.08165763245322609
2018-06-18 19:01:39.424082,opt1,0.00022606977883586222,0.0716908550445882
2018-06-18 19:01:39.568430,opt2,0.00022606977883586222,0.0
2018-06-18 19:01:39.700815,opt3,0.00022606977883586222,0.0
2018-06-18 19:01:39.820863,opt4,0.00022606977883586222,0.0
2018-06-18 19:01:42.567645,opt5,0.00022606977883586222,0.08165763245322609
2018-06-18 19:01:42.759913,opt1,0.0001426403873215002,0.0
2018-06-18 19:01:42.941011,opt2,0.0001426403873215002,0.0
2018-06-18 19:01:43.100989,opt3,0.0001426403873215002,0.0
2018-06-18 19:01:43.259253,opt4,0.0001426403873215002,0.0
2018-06-18 19:01:47.858154,opt5,0.0001426403873215002,0.0
2018-06-18 19:01:47.944350,opt1,9e-05,0.0
2018-06-18 19:01:48.056894,opt2,9e-05,0.0
2018-06-18 19:01:48.179782,opt3,9e-05,0.0
2018-06-18 19:01:48.270785,opt4,9e-05,0.0
2018-06-18 19:01:52.624897,opt5,9e-05,0.0
2018-06-18 19:01:52.713877,opt1,0.9,0.8647510809194088
2018-06-18 19:01:53.195602,opt2,0.9,0.8743539918512233
2018-06-18 19:01:53.922894,opt3,0.9,0.8743539918512233
2018-06-18 19:01:54.329956,opt4,0.9,0.8726875888559167
2018-06-18 19:01:58.924357,opt5,0.9,0.8726875888559167
2018-06-18 19:01:59.015382,opt1,0.567861610032174,0.8298942805403734
2018-06-18 19:01:59.458832,opt2,0.567861610032174,0.8362854420149396
2018-06-18 19:02:00.197328,opt3,0.567861610032174,0.8358795978590956
2018-06-18 19:02:00.834445,opt4,0.567861610032174,0.8298970728771558
2018-06-18 19:02:05.554621,opt5,0.567861610032174,0.8298970728771558
2018-06-18 19:02:05.654572,opt1,0.35829645349814754,0.8087250629271593
2018-06-18 19:02:06.277420,opt2,0.35829645349814754,0.8134102033794234
2018-06-18 19:02:07.058420,opt3,0.35829645349814754,0.8116345109939153
2018-06-18 19:02:07.469922,opt4,0.35829645349814754,0.8077553304230605
2018-06-18 19:02:13.154562,opt5,0.35829645349814754,0.8077553304230605
